Igala,English
Ọ́gá-ọ́jọ́má,lieutenant
ilé,life
ọ̀lọ̀gbó,lifetime
ílẹ̀,lifelong
ìlẹ̀,Life
álí,lifestyle
ójìológbọ́,life-time
dá,lift
nẹ́,lifted
gbélí,lifting
fúfú,light
ẹ̀mù,light
ní ẹ́mù,lighted
àmẹ̀mù,lights
ọ́màmànyà,Light
kẹ́lẹ́kẹ́,lightly
ọ̀dọ̀,lighting
í-chẹ́,likelihood
dẹ́gbà,likely
ádúbálé,likewise
álèmúínále,lime
ágbàà,limits
ìkàmù,limits
íkwúù,line
ọ́gbà,Line
ùgbẹ̀,lineage
ádà,linear
tọ́gbà,lined
àmágbá,lines
ílìí,link
tányí,linking
àlíí,links
ìdù,lion
áló,lips
ómi,liquid
ọ́dọ́dú,list
àmọ́dódú,lists
àákáá,literally
ẹ́gbà,literary
ọ́gbọ́n,literary
rééé,little
dẹ́jú,live
ọ̀dọ̀,liver
òdú,location
jigbẹ́,lock
kpá,locked
ígẹ̀dẹ́,lock
iji-úná,log
àkànúgbá,logically
Lọ̀ndọ̀n,London
já,longer
ígbélé,long-standing
D’ẹ́jú,Look
Gbàá,Look
lì,look
égbìgbì,loop
álọ̀,loose
júgwù,loosely
lọ́,loosen
Ọjọ́,Lord
òfù,loss
ùgbé,lot
ùfẹ̀dọ̀,love
nẹ́,loved
ányẹ́máàgbọ̀,lover
gbányáà,lower
égọ́,loyalty
ọ̀gbóóló,loyal
ákúkọ̀,lungs
Ọ́jò,madam
ahímú,mad
ché,made
ògwúdéyí,magic
àchàgàlá,magnificent
álẹ́gbálẹ́,mainly
kpọ́kpẹ́,mainly
jì,maintain
jì,maintaining
ché,make
aché,makes
ché,Make
ọ́kọ́,male
ónẹ̀,man
ónẹ́kẹ̀lẹ̀,man
dúkpẹ,mandatory
jọ,manifested
ojóojí,manifold
ẹ́nẹ́,mankind
áli,manners
àkàánùgbá,Manners
àwọ̀nyí,map
Máchì,March
ẹ́gbẹ́,margin
àgbàá,mark
ájà,Market
dádó,marketable
ínáà,marks
ọ́yáà,marriage
àmọ́yáà,marriages
n'ókọ́,married
ẹ̀gbọ̀lọ̀,mass
ùmẹ́jú,mastery
ẹ́gọ́,mate
ẹ́ñwú,material
ọ̀lá,matter
gẹ́gẹ́dẹ̀,matter-of-factly
kàní,maybe
mí,me
bàkú,mean
ọ̀fé́,meaning
nẹ̀fú,meaningful
ọ̀fọ̀fó,meaningless
àlù,means
ọ́lá,means
k’íná,meant
gbálúká,measure
álú,Measurement
ẹ́bíjẹ̀,mechanical
áb’íjìnẹ́,mechanics
ìbà,mediation
ọ́gwù,medical
àlúlà,medication
àmalúlà,medications
ógwù,medicine
ùjẹ́jú,meeting
àmáùjẹ́jú,meetings
àbó,members
ámì-bílọ́,membranes
íbē,memory
èmí,memory
àbókẹ̀lẹ̀,men
ílẹ̀,mental
àhíkáà,mentions
dọ́,mention
àhíká,mentioned
ọ̀fọ̀fó,mere
ké,merely
álí,merit
àlìfía,merits
Mẹ́síkóò,Mexican
M̀áíkrọ́sọ́fùtù,Microsoft
àlúmẹ́jì,mid
àlúmẹ́jì,middle
álùmẹ́jì òdú,midnight
ọ̀gẹ́gẹ́dẹ̀,midst
kpákáá,might
àgbélẹ́,mighty
ìmílẹ̀,mile
ẹ́já,military
Íchójáà,Military
ómi ẹ́nyá,milk
mílíọ́nù,million
éfúù,mind
èémi,mine
kẹ́kẹ́lẹ́,minimum
Ígọ́bìnáà,minister
Àmọ́màjàtá,Ministers
kẹ́kẹ́,minor
ámáàwáà,minutes
kpẹ́gwà,mix
chẹ̀gíná,mixed
égbúdù,mixture
lùlẹ̀,mobile
ódú,model
àlá,modeling
àmálú,models
étító,Modern
bílẹ́wá,modern
Ẹ̀múndẹ́,Monday
ọ́kọ́,money
ébíjè,money
ọ́chúù,month
àmọ́chúù,months
bíẹ́nẹ,moral
ilẹ́,morality
àkànúgbá,morally
Mósì,Moses
kpọ́kpẹ́,Most
jù,mostly
Íye,Mother
Íye,mother
àmọ́yẹ́,mothers
ídí,motivation
étẹ̀,motive
ámètẹ̀,motives
ímótò,motor
úwó,mountain
àmáwọ́,mountains
Ójúwó,Mount
gbẹ́,move
kọ́,moved
úgbó,movement
sínímà,movie
àmọ́-sìnímà,movies
ọ́jò,Mrs
ọ́jò,Ms.
kpọ́,much
ẹpìọ̀,mud
hìjọ̀lọ̀,muddy
gbágádá,multi
àákpálá,multiple
dàgbá,multiply
álọ́ká,multitude
kpa,murder
á́kpọ́nẹ́,murderer
kìíníí,murky
ágójì,muscular
ẹ́lí,music
Àkpà,Muslim
che,must
kù,must
ẹ̀jọ̀,mutually
ónúgò,myself
ẹ́ñwu àfítéjú,mystery
àmọ́fítẹ̀jú,mysteries
l̀úbàìlò̀,mysterious
jìfì,mysteriously
ẹ́ñwu-áfìtẹ́jú,mystery
álé,nail
ódú,name
pemee,narrow
ọ̀lọ́pù,nation
ájọ̀,national
ojóojì,natural
ọ̀fọ́,nature
èmí-émí,nearby
gbégbé,nearly
dúkpẹ,necessary
ténè,need
dúkpẹ,needed
àmaténè,needs
èhéee,negative
ékéjì,neighbor
àdógbéè,neighborhood
àbómúnẹ̄ẹ̀,neighbors
gbē,neither
ẹ̀dọ̀,nerve
d’éjìjì,nervous
ìgà,net
gbē,never
étító,new
tító,newly
ọ̀là,news
úbí,next
nyọ̀,nice
òdu,night
ẹ̀lá,nine
ẹ̀gwélā,nineteen
ẹ̀kẹ́lā,ninth
èhéee,no
ẹ́nẹ gbē,nobody
ékwùkwù,noise
ch’èkwùkwù,noisy
gbē,none
ẹ̀nyí ẹ́chẹ̀,nonsense
íchẹ́kà,nonetheless
ọ̀lọ́j’ólù,noon
bé,nor
mú,normal
tẹ̀ t ẹ̀,normally
ọ̀gẹ́bẹ́ẹ̀,north
ímọ́,nose
ṅ,not
kà,note
àmákà,notes
ẹ́ñwu dúú,nothing
lí,noticed
íbē,notion
Nọ̀vẹ́ḿbà,November
ábájọ́-í,now
ábájọ́-í,nowadays
ìgbálígbā Ọjọ́,nowhere
álu,number
gbálukà,numbered
àmalu,numbers
bù né,nurse
nẹ́,nursing
àmaolóbo,nuts
ígbẹ́íbe,obedience
ẹ́ñwu,object
ọ̀fọ́,objective
àmọ̣́fọ́,objectives
àmẹ́ñwu,objects
ìdúù,obligation
àmaidúù,obligations
dúkpẹ́,obligatory
ché,obliged
ọ̀wọ̀lì,obscure
àwòlí,observation
gòó,observe
má,observed
ágígò,observer
jálí,obviously
ikò,occasion
káà,occasional
ìkò ókáà,occasionally
che,occur
ùgójù,occurrence
ché,occurring
ìtèkwú,ocean
Ọ̀kọ̀ọ̀bà,October
èche,odd
lẹ́,of
lú,off
ẹ́biẹ̄nẹ,offence
énẹ-ẹ́biẹ̄nẹ,offender
ché,offered
ẹ́ñwu,offering
àmẹ́ñwu,offerings
ójúukọ́lọ́,office
àmọ́júukọ́lọ́,offices
ọ́ma,offspring
gbẹ́gbà,often
káì,oh
ékpo,oil
gbẹ́,okay
oo,Okay
ígbélé,old
gbó,older
ójí,on
gbégbé,once
ényẹ́,one
áma,ones
ónúgò,oneself
katé,only
ójí,onto
chí,open
chí,opened
ọ̀gẹ̀gẹ̀dẹ̀,openly
àbù,opening
che,operate
úkọ́lọ́,operation
íbē,opinion
ìgbà,opportunity
àmagbà,opportunities
kọ̀,opposed
ójóojì,opposite
ẹ́júbi,opposition
ọ̀fọ́,option
àmọ̣́fọ́,options
abẹ̀kù,or
ùkọ̀lọ̀,order
chí,ordered
kílíkímí,orderly
òfòfo,ordinary
ẹ̀bì,organ
ójúkọ́lọ́,organisation
dó,organize
kílíkímí,organized
chálò,organizing
ìdènèkwù,organism
àmidènèkwù,organisms
àmẹ́bì,organs
ẹ̀gwù,original
ẹ́yìbó,Orthodox
òmúnẹ́ẹ̀,other
àbómúnẹ̄ẹ̀,others
dúkpẹ́,ought
wa,our
àwa onúgò,ourselves
álùgbó,outcome
àmalùgbó,outcomes
kàdò,outline
ẹ̀dọ̀,outlook
ànyí,output
ọ́dọ́da,outside
ílòwáà,outsider
lìlẹ̀,outstanding
kpa,over
chákáá,overall
dú,overcome
ẹ̀bẹ̀cha,overnight
ẹ́jú,overview
j’ọ́mẹ́ẹ̀,owe
j’ọ́mẹ́ẹ̀,owing
nẹ,owned
òdè,owner
íbāálú,ownership
àfù,oxygen
kó,pack
kámá,packed
álóko,pain
àmalóko,pains
méjì,pair
àmẹ́jì,pairs
Éfọ́fẹ̀,palace
ẹ́rẹ́,palm
àmẹ́rẹ́,palms
kpò,pant
íchàká,pants
òtákáda,paper
àmòtákáda,papers
ùkpé,paragraph
ámùkpé̀,paragraphs
ẹ̀kó,part
dágágàlà,partially
d'ùbí,participate
d'ùbí,participated
àdígō,particular
àmajọ́,parties
ìkòchẹ́,partnership
àmẹ́ñwu,parts
àbó,party
páchì,pass
gbó,passed
ọ̀ọ́nà,passage
ìgwà,passengers
ọ̀kái,passion
échí,past
àmálí,patterns
jẹ́kẹ́bí,pause
ra,pay
ọ́kọ́,payment
ọ̀la-nyọ́,peace
ọ̀la-nyọ́,Peace
àlọ́kọ́,peasant
àdúñà,peculiar
ùgbẹ̀,pedigree
ínéẹ̀,penalty
àmọ́nẹ́,people
ábó,peoples
ákpọkọ,pepper
lí,perceive
údẹ́,percent
údẹ́,percentage
àmalùdẹ́,percentages
ójì,perception
pípí,perfect
gbẹ́gẹ́dẹ́ẹ́,perfectly
ìlèchẹ́,perfection
che,perform
ànyí,performance
che,performed
áche,performing
kàní,perhaps
ẹ̀gbà,period
àmẹ̀gbà,periods
pìóó,permanent
pìòógódòó,permanently
ìgb’ọ́dá,permission
dúkpẹ,permitted
àdúkpẹ,permits
ẹ́nẹ,person
ẹ́ñwu,personal
énẹ,personality
nyẹ̀gbàjì,personally
àmonẹ̀,persons
ojú,perspective
tọ́,pertaining
égíní,petty
ikò,phase
àmàìkò,phases
ìwúláà,phenomenon
énẹùmààgàà,philosopher
ẹ̀kọ́-ùmà,philosophy
íló,phone
ìfòtó,photograph
ádifòtó,photographer
àmìfòtó,photographs
ùkọ̀là,phrase
àñọ́lá,physical
kpàkpálá,physically
énẹ́gwù,physician
ẹ́kọ́,physics
ñá,pick
gbá,picked
fíyẹ́,picking
ìfòtó,picture
àmifòtó,pictures
àkpánà,piece
àmakpánà,pieces
ámokóò,pigs
gwà,pilot
àgàká,pine
rọ́ókpóó,pink
ẹ́gbá,pioneer
ùchá-àtábáà,pipe
ẹ̀gbá,pitch
éjúmomi,pity
dù tè́,Place
úgbo,place
dó,placed
ámúgbo,places
ẹ́nẹ́ àjọ,plaintiff
kàà,plainly
álọ̀,plan
òkọ̀,plane
ténè,planned
olí,plant
gbẹ̀,planted
tígà,planting
úchẹ́,plantation
àmáchẹ́,plantations
àmolí,plants
òchíbú,plate
àmọ́chíbú,plates
ígbélí,platform
íyáà,play
che,played
ájọ́lí,player
chẹ́,playing
ọ́lógwù,plea
j'ọ́gbọ́,pleading
kócho,please
áyé,pleasure
gbà,pledge
kpúù,plenty
ọ̀lá,plot
ìgòchèlèmá,ploy
kpàí,plus
anẹ́,p.m.
ákówúlé,poet
ẹ́kọ́ ọ́nyáà,poetry
ìgbà,point
kálíí,Point
àmagbà,points
ọ̀kpáà,pole
úkọ̀lọ̀,policy
ọ́jàà,political
ẹ́nẹ́ọ́jàà,politician
ọ̀fọ́,politics
ẹ́bú,pollution
ájì,pond
ómi,pool
àmómi,pools
álẹ́,poor
bíẹ́,poorly
éjénẹ́ẹ̀,popular
ójìdú,popularity
àbó,population
ọ̀tára,porcelain
égbéẹ̀,portion
àmégbéẹ̀,portions
chē,pose
dúgbo,posed
ùñà,position
àmaùñà,positions
nẹ,possesses
nẹ,possessing
íbāálú,possession
àmíbāálú,possessions
íkáni,possibility
íkáni,possibly
ídó,posture
ùchà,pot
íkàchì,potato
gbéjú,potential
gbégbé,potentially
áchúbà,pottery
ẹ̀bílẹ́,pound
du,pour
chí,poured
dó,pouring
àlé,poverty
èmùnù,powder
éfùlù,powdered
èyíkwù,power
líkànígìì,powerful
gbágádáá,powerfully
àmaèyíkwù,powers
àlìfía,pragmatic
úkọ́lọ́,practice
àmákọ́lọ́,practices
énẹ̀-égbá,practitioner
dányú,praised
jẹ́nyú,praise
àmajẹ́nyú,praises
àduwa,prayer
àmọ́dùwa,prayers
kọ́lọ́jọ̀,preach
ẹ́kọ́lọ́jọ̀,preaching
ch’ógwá,precede
yìílí-yilì,precisely
gbò,predict
áchẹ̀,prediction
bíẹ́nẹ́,predatory
jílíì,predominantly
áyé,preference
ámáyẹ́,preferences
lí rẹ́ ejú,preferred
ìchólò,preliminary
àjáanẹ̀,premises
chọ́,prepare
chọ̀,prepared
ácho,preparing
údógbo,presence
ele,present
álù,presentation
dẹ̀,Present
ádú,presenting
Ààré,president
n’ójì,pressing
ónyà,pressure
ténè,presume
jé,prevent
jó,prevented
égbábọ̀tẹ́,prevention
échí,previous
kw’ábì,previously
ọ́kọ́,price
àmaọ́kọ́,prices
úgbọ́dú,primitive
ọ̀fọ́,principle
àmọ̣́fọ́,principles
ína,print
ídí,printing
úkọ́lọ́,Printing
ọ̀gbà,priority
únyídúdú,prison
àbúnyí-úgá,prisoners
íkúmà,privacy
májáà,private
àmadúkpẹ̀,privileges
ódú,prize
kàní,probably
ọ̀là,problem
ìhíányì,problems
nyí,proceed
ló,proceeded
j’ífáfáí,proceeding
ẹ́ló,process
ùnyé,Processing
nyí,produce
nyí,produced
t’álú,producing
álùgbó,product
úkọ́lọ́,production
úkọ́lọ́,Production
àmálùgbó,products
úkọ́lọ́,profession
ẹ́gbá,professional
àmẹ́gbá,professionals
ítíchà,professor
àmọ́tí́chà,professors
ilé,profit
àmaìlè,profits
álóọ̀,program
àmálóọ̀,programmes
nyọ́gbá,progress
ọ̀fọ́,project
àmalọ̀fọ́,projects
ádútógù,proliferation
gbẹ́,prominent
ùgbalu,promise
gb’alù,promised
ákátá,promising
dá,promote
ché,promoting
ìjàlí,proof
álíí,proof
nyọ̀,proper
jálíí,properly
ànénẹ̀,property
ọ̀lọ̀,proposal
àmọ́lọ̀,proposals
ẹ̀kọ́,prosecution
íkáni,prospects
ánána,prosperity
dè,protect
jí,protected
ché,protecting
ọ̀fọ́,Protection
dúgbo,provided
ẹ́gbá,provider
dúgbo,providing
ìbúù,provision
údọ́tẹ́,proximity
áhímú,psychiatric
áyẹ́,psychological
ùgbẹ́jú,psychology
ámọjà,public
ójáà,Public
kọ,published
ónú,publisher
fá,pulled
dọ́,pulling
ákàkàmí,pulse
ámákàkàmí,pulses
bú,pump
òbàtà,punishment
ọ́ma ìchèkpúlù,pupil
ọ́la-échíchá,purity
àjàànú,purple
ẹ̀tẹ̀,purpose
ójínó,purposeful
gẹ̀gẹ̀dẹ̀,purposely
àmaètẹ̀,purposes
chē,pursued
àtẹ́nẹ́,pursuit
k’ẹ̀chẹ̀,push
ákẹ́chẹ̀,pushing
du,put
ùmà,qualifications
àmálí,qualities
údẹ́,quality
àmalù,quantities
álu,quantity
Ébúlẹ̀ẹ́jonú,Queen
àmébúlẹ̀,queens
ènè,question
t’énè,questioned
éné,Question
àméné,questions
píóò,quickly
kpákpálá,quickly
chíí,quietly
pìàà,quite
àmákà,quotes
írédíyò,radio
ómi ojáalè,rain
gw’álù,raising
tílílí,random
tílílí,randomly
ẹ̀kọ́,rank
gbàlukà,ranked
bèlébélé,rapid
yáájáá,rapidly
kéè,rarely
ìkélékwu,rat
dábú,rated
gbẹ́jú,rational
ẹ̀tẹ̀,rationale
èmímí,raw
úkpōlọ́,ray
ámákpōlọ́,rays
tú,reached
tú,reaching
fìá,react
áyé,reaction
gbá,read
ẹ́nẹ́ gbá,reader
ùgbá,Reading
kpọ́kpẹ́,readily
ẹ́gbá,reading
jálíí,Real
ojóojì,reality
gbá,really
àchē!,Really
àmaètẹ̀,reasons
jẹ́,reasonable
jẹ́jẹ́,reasonably
tibelọ̀,recall
má,recalled
dábúù,recede
gbà,receive
gbá,received
énẹgbómù,receiver
ẹ́gbá,receiving
òfeje-í,recent
òfeje-í,recently
mà,recognise
d’éjúgō,recognising
ẹ́ jú émū,recognition
kẹ́dọ́nó,recommend
ànọ́rú,reconciliation
fẹ̀ẹ́gā,Record
álú,record
ámalù,records
bíẹ̀,recovery
íyáà,recreation
dégùgō,rectangular
ẹ̀kpíkpà,red
b’ẹ́kpíkpà,Red
ákwádúù,reduction
dábú,refer
údú,Reference
údú,references
cháñwà,reflect
áyẹ́,reflection
rídáà,Reform
ùkọ̀,refusal
kọ̀,refused
líẹ́ júmómí,regard
úgbó,regarding
íkánī,regardless
ójáanẹ́,region
ójáanẹ́,Region
ójáanẹ́,Regional
ójínó,regime
ùdú,regime
ọ̀mẹ́,region
àmọ́mẹ́,regions
ọ̀tákáda,Register
àbó,register
chẹ́kò,registered
ámọ́dáà,Regulations
ẹ́gbà,reign
jẹ́,reject
kpàgbé,rejected
gbàkò,relate
kámá,related
ché,relates
ẹ́nẹ́,relation
àmọ́nẹ́,relations
àdé,relationship
àmọ́dé,relationships
éfú,relative
dá,relatively
àbófúù,relatives
mí,relax
gb’ọ́la,relaxed
ùmí,relaxation
ójìjẹ́lí,relevance
álí,reliability
kpákáá,reliable
néjú,relied
áyẹ́dọ̀,relief
gba nyọ́,relieve
ìchẹ́bọ́,religion
kẹ́dọ̀nó,rely
bọ̀,remain
che,remained
àbìbọ̀,remainder
àbìbọ̀,remains
kà,remark
ábàìlò,remarkably
àmákà,remarks
àmọ́gwù,remedies
gbá,remember
íbē,remembering
gbó kákó,remind
kpégā,reminded
áche,reminds
kpéñé,removal
kó,remove
kpá,removed
fáyà,rent
fáyà,rented
ñwọ́chẹ̀,repair
dàbì,repeat
gẹ̄,repeated
gbẹ́gbà,repeatedly
kójì,replace
àkójì,replacement
d’óhì,reply
bí úmi ọ́la,Report
kà,reported
bíọ́la,reporting
b’ámínáà,represent
ẹ́gbá,representative
ch’ámínáà,represented
ojáanẹ̀,republic
ójáanẹ̀,Republic
bi,request
dáhì,requested
àmadáhì,requests
àmaténè,requirements
ténè,require
dúkpẹ,required
gbẹ́gbẹ́dẹ́,requiring
ẹ́kọ́,Research
étíchà,researcher
du tíbā,reserve
chẹ́,reserved
àjáanẹ̀,residence
álíí,resistance
álu,resolution
ọ̀kái,resolve
ẹ́jẹ́,resource
àmẹ́jẹ́,resources
òjima,respect
ájọ́fẹ́,respectful
yọ́yọ́ó,respectfully
ẹ́fúú,respectively
gbómù,respond
òhì,response
àmọ́hì,responses
ùdú,responsibility
ámadù,responsibilities
kpé,responsible
ché,responsive
mí,rest
gbà tánẹẹẹ̀,restored
kémíkémí,restricted
kẹ́mūhí,restrict
òfè,restrictions
álùgbó,result
tọ́ dú,resultant
àmálùgbó,results
ámálùgbó,Results
ẹ́gbá,retirement
dábì,retreat
ọ̀fọ́,retribution
bíẹ́nẹ,retrospective
lìá,return
d’ojì,returned
dojí,returning
dàbì,reverse
gòó,review
àmákà,reviews
ògúdídí,Revolution
ọ́gwọ̄kọ́,reward
ákọ́kọ́lọ́,rhetoric
àbígbo,rhetorical
íjì,rhythm
égbéẹ̀,ridge
àmagbéẹ̀,ridges
ẹ̀nọ̀,right
àmadúkpẹ̀,Rights
jáà,rising
ójíétú,risk
àmójìétú,risks
Ájì,River
ájì,river
àmájì,rivers
íkpadala,road
ámíkpadala,roads
ópátá,rock
úmà,rod
ùkpẹ̀,role
ámúkpẹ̀,roles
kpá,roll
nẹ́,rolled
ílógbo,roller
ọ̀gẹ̀lẹ̀,romance
ẹ́jẹ́efù,room
ámálẹ́,roots
íkwúù,rope
ẹ̀chó,rotation
gbágádá,rough
dábú,roughly
kòlòkòlò,round
jòòlòò,Round
ádàgélē,roundabout
ọ̀nà,route
àmónà,routes
gbàjéélé,Row
ógbá,row
gbààgbà,rowdy
éyí-Onú,Royal
éyí-Onú,royal
ónú,ruler
àmodáà,rules
òfọ́,rules
éjẹ,ruling
jó,ruined
òfòfo,ruins
rá,run
úrúlẹ́,running
ọgbẹgbẹ́lè,rural
àmọ́hídákà,sacrifices
ìjò,sacrificial
ójìdí,safety
kà,said
gwá,sailed
ẹ́nẹ́-jómi,sailor
óchù,salary
àtá,sale
ómu,salt
úgwáà,salutation
òkwùjọ,same
ìjálí,samples
èbùtù,sand
Ọ́jọ́ ábàtà,Saturday
yọ,save
àtá,saying
akwú,saying
akà,says
òdú ékpabiẹ́,scandal
kpatúká,scatter
tà,scattered
ígò,scene
ẹ̀fíyẹ,scheme
àmẹ̀fíyẹ,schemes
únyí íchèkpúlú,School
ùkọ̀,science
étíchà,scientist
ámọ́tíchà,scientists
òhìmìnì,sea
kpàkpà,Seamless
ámájí,seams
ténè,search
ègbà,season
ọjó,seasonal
ọ́dọ́ọ́dọ́,seasonally
úñà,seat
gwùgwú,seated
ẹ́kẹ́jì,second
ójú,section
ọ̀fọ́,Section
jí,secure
ád,security
ád,security
lí,see
lí,seeing
ténè,seek
áténè,seeking
dábú,seem
néjú,seemed
dẹ́,seemingly
néjú,seems
lí,seen
áli,sees
téné,seeking
káà,seldom
dọ́mọ,select
dọ́mọ,selected
ónúgò,self
tà,sell
ẹ́nẹ́-àtà,seller
àtá,selling
kpẹ́,send
ákẹ́,sending
ùmà,sense
ẹ́mú,sensible
kpẹ́,sent
ọ̀là,sentence
dárú,separate
òjójì,separately
dárú,separated
àdárú,separation
Sẹ̀ptẹ́ḿbà,September
ọ̀gbá,sequence
ọ̀gbọ́ólọ́,serious
pípí,seriously
gbégbédé,seriously
édìbò,servant
rárẹ́,serve
dú,served
ẹ́kwù,service
ìkò,sessions
du nẹ́,set
ámádú,sets
àkàmójí,setting
ìgbélé,settings
àmewó,settlements
dárú,settle
jìọ́lá,settled
ẹ́bie,seven
ẹ̀gwẹ́tà,seventeen
ẹ́kẹ́bie,seventh
káà,several
ọ́jọ́jí,severally
bíẹ́nẹ́-bíẹ́nẹ,severe
kpókpòkpóò,severely
ìgbẹ̀,severity
ìbẹ́tẹ̀,sexual
ókpó,shaft
àmọ́kpọ́,shafts
gbẹ́,shake
ná,shall
údú,shame
ẹ̀kọ́,shape
kpẹ́,share
jájá,sharp
kè,sharply
já,sharpen
ẹ́jà,sharpening
í,she
m’ébū,shed
ẹ́pá,sheet
ámépá,sheets
ákpó,shell
àmakpó,shells
hì gwùú,shifted
ábùgà-bùgà,shifting
ìkò,shifts
àfẹ̀,shirt
àmafẹ̀,shirts
ẹ́gbúlú,shock
dá,shocked
ágígba,shocking
àmẹ́dà,shoes
ìjànyà,shop
kpúkẹ̀,short
fàáfáí,shortly
ẹ́yọ́,shot
àmẹ́yọ́,shots
che,should
ójìká,shoulder
ámójìká,shoulders
kpégwú,shout
dógō,shouted
n’úká,shouting
ñà,Show
lìá gòó,Show
dú ñà,show
du,showed
efúfù,showiness
adú,showing
ádú,shown
éhìlẹ̀,shyness
ọ́maye,sibling
àmọ́maye,siblings
lọ̀ọ́,sick
ọ̀gá,sickness
ègbó,sickly
ọ́wó́,side
àmọ́wọ́,sides
àmínáà,sign
àmínáà,signals
nána,significant
náná,significantly
àmínáà,signs
échì,silence
káàlìì,silent
ídádà,silly
ájífà,silver
ojóojì,similarity
ábàlẹ́,similarly
gbẹ́gbẹ́,simple
kékélé,simply
ójóòkáà,simultaneously
kwúhíẹ,since
ọ̀gẹ́cha,sincere
gbóló,sincerely
kẹ́káà,single
òókáà,singular
àtógìjó,Sir
ọ́maye,sister
àmọ́maye,sisters
ámúgbo,sites
dégō,situated
mẹ́fà,six
ẹ̀gwẹ́fà,sixteen
ágọ́,size
n’ágọ́,sized
àmagọ́,sizes
ìfòtó,sketch
lìlẹ̀,skilled
ùmà,skills
áñọ,skin
gbẹ́gbẹ́,skinny
ojáalè,sky
ólù,sleep
álẹ́lọ̀,sleeping
lẹ́,slept
mélémélé,slightly
yẹ̀ẹ̀,slowly
kẹ́kẹ́,small
kẹ̀chùù,smaller
kékélé,smaller
lìlẹ̀,smart
kpákpálá,smartly
lù,smell
ábí,smelly
àlú-ányí,smile
ch’àlú-ányí,smiling
ódùdù,smoke
kpálí,smoothly
ẹ́jóò,snake
kọdá,snap
òñwùlẹ́,so
óchẹ̀,soap
gbẹ́gbẹ́dẹ́,social
àbọ́-ìlẹ̀,society
ẹ́kọ́-àbọ́-ìlẹ̀,sociology
lọ́lá,soft
anẹ́,soil
àjógwù,soldier
ìdógò,solidarity
íbē,solution
kpà,solved
ágbē,solving
dọ́mọ,some
ẹ́nẹ́,somebody
ẹ́nẹ́,someone
ẹ́ñwu,something
ẹ̀gbáá káà,sometimes
dẹ́,somewhat
úgboó káà,somewhere
ọ́ma,son
élí,song
àmálí,songs
hàí,soon
j’éjénẹ́ẹ̀,sophisticated
dò,sort
ọ́lāí,soul
ùkomù,Sound
lúù,sound
fẹ̀,sound
dúgbò,sounded
chọ̀ọ̀ọ̀,soundly
àmàlùù,sounds
àkúkòmù,sounds
ọ̀kpù,source
ẹnẹ́káàlù,speaker
ígbágbá,special
ùgbó,specialised
ọ́káà,specialist
àmájóká,specialists
úgbó,specialization
ádìgō,specifically
ádígō,specification
k’alù,specified
ìfàfàmù,spectacular
ùkọ̀là,speech
àmákọ̀là,speeches
píóò,speedily
kpàgbíẹ,spend
fíá ọ́wọ́ mẹ́jì,spending
dú,spent
òfúù,sphere
ọ̀kpọ́lóló,spine
jó,spoiled
kọ́láà,spoken
fìá,spread
úrè,spreading
ádò,stack
ámadù,stacks
ùgwùgwú,staff
dágō,stand
údẹ́,standard
údūdẹ́lè,standard
àtó,standing
íbẹ,standpoint
àtó,stands
ìláwọ́,star
àmiláwọ́,stars
rónó,start
chánẹ́,started
cháné,starts
ójáanẹ́,state
ọ̀là,statement
àmọ̣́là,statements
ójáanẹ́,State
àkádẹ̀,station
dẹ́,stationed
òjìbó,statue
pẹ́pẹ́,steadily
ígáà,stem
àmáígáà,stems
álọ̀,step
àmálọ̀,steps
olí,stick
àmólí,sticks
éfúù,stomach
ọ̀kwúta,stone
mú,stop
dá,stopped
múdā,stopping
ìlàkà,story
kpáló,straight
ádúñà,strange
ìlówáà,stranger
íbẹ́,strategies
ẹ̀kọ́,strategy
àmíjónaà,streets
ífẹ́,strength
àmaìfẹ́,strengths
kọ́nyí,stretch
fàà,stretching
íkwúù,string
álu,stroke
gbíkó,strong
gbígì,strongly
ágbojì,stronger
éfúù,structure
d’ógò,struggle
lí,struggled
bínyẹ́,struggling
ìkémà,studies
ẹ́kọ́,studies
k’ìké,Study
íkémà,studying
àmọ́lọ̀,subjects
ọ́gbá,subsequent
úbí,subsequently
ẹ́ñwu,substance
kàkpọ́ọ́,substantial
ẹ́gbò,substitution
tányí,succeeded
rónọ́,succeeding
álíì,successfully
ògbá,succession
abálẹ́,such
áchígílī,suddenly
áchígílī,Suddenly
áwọ́,suffering
álíì,sufficiently
íchùgáà,sugar
kà,suggested
lọ̀,suicide
ámájọ,suits
ọ́kọ́,sum
jìọ́lá,summarized
àmọ̣́kọ́,sums
áchīgēnē,summit
dógō,summoned
Àládì,Sunday
ólù,sun
áchọ́gbá,superior
lile,superlative
ágbojí,supervisor
d’ọ́wó́,Supply
ábó,supporters
gbàtẹ̀kó̀,Support
bàkú,suppose
gbàlàkàtá,Supreme
ée,sure
píọ́ọ,surely
ánẹ́ẹ̀,surface
àmọ́nẹ́ẹ̀,surfaces
úkọ́lọ́,surgery
ẹ́bíjè,surgical
kó,surrender
gámá,surrounded
ámágbàgà,surrounding
ámágbàgà,surroundings
gòó,survey
jẹ́gbá,survived
t’ámẹ̀,suspend
ọ̀lùgbè,suspense
égbánẹ́ẹ̀,sweeping
rínyọ̀,sweet
rínyọ́ tùlè,sweeter
úgwú,sweat
